Emërtimi,PLANI VITIT 2016
Të ardhura të taksueshme,6582428000
Taksa mbi pasurinë e paluajtshme,1813428000
Familjarët,283428000
Subjektet Tregtare,1530000000
Taksa mbi token Bujqesore,34000000
Taksa mbi truallin,20000000
Tatimi Thjeshtuar mbi Fitimin e BV,330000000
Taksa e fjetjes në hotel,150000000
Taksa e ndikimit ne infrastrukture nga ndertimet e reja,2160000000
Taksa mbi kalimin të drejtës pronësisë për pasuritë e paluajtshme,400000000
Taksa vjetore e mjeteve te perdorura,300000000
Taksa e tabelës,505000000
Tabelë identifikuese/sinjalizuese,5000000
Tabelë reklamuese,500000000
Taksa e përkohëshme per infrastrukturen Arsimore,870000000
Familjarët,320000000
Subjektet Tregtare,550000000
Të ardhura jo tatimore,4069000000
Tarifat,3767000000
Tarifa e pastrimit,2175000000
Familjarët,795000000
Subjektet Tregtare,1380000000
Tarifa e parkimit te automjeteve,300000000
Parkim me kontratë,50000000
Parkim me bileta,250000000
Tarifa për shqyrtimin e kërkesës për leje për punime,200000000
Tarifa dhenie licence tregtim karburanti +Lende djegese,400000000
Tarifa për zënien e hapësirave publike,680000000
"Tarifa për zënien e hapësirave publike me platforma betoni,kangjella.",600000000
Tarifa për zënien e hapësirave në tregjet publike,80000000
Tarifa e sherbimit veterinare,6000000
Tarifa sherbimi te PMNZHSH,6000000
Të ardhura të tjera,108000000
Qera ndertese,30000000
Qera trualli,3000000
Te tjera,60000000
Nga institucionet e varesise,15000000
Pagesa,194000000
Per kopshtet e femijeve,120000000
Per çerdhet e femijeve,70000000
Per Konviktet e Shkollave te Mesme,4000000
Shuma,10651428000
Transferta e pakushtezuar,1531458969
Totali,12182886969
